                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     16,                0.84379,                0.81179,                0.96017,                0.80921,                0.79493,                0.88161,                0.72078,                0.69005,                0.77177,                0.89102,               0.001406,               0.001406,               0.001406
                     17,                 0.8235,                0.78946,                0.96698,                0.78491,                0.75687,                0.84316,                0.66822,                  0.803,                0.80554,                0.91785,              0.0013664,              0.0013664,              0.0013664
                     18,                0.82541,                0.79377,                0.95822,                 0.7266,                0.62367,                0.73305,                0.55935,                 0.9481,                 1.2251,                 0.9965,              0.0013268,              0.0013268,              0.0013268
                     19,                0.80522,                0.77391,                0.94947,                  0.874,                0.72727,                0.88161,                0.70606,                0.74283,                0.78203,                0.90896,              0.0012872,              0.0012872,              0.0012872
                     20,                0.79829,                0.78174,                0.94482,                0.77287,                0.79855,                0.85782,                0.68803,                0.74466,                 0.8076,                 0.9113,              0.0012476,              0.0012476,              0.0012476
                     21,                0.79146,                 0.7395,                0.94444,                0.80175,                0.82875,                0.89074,                0.73801,                0.66867,                0.73761,                0.87698,               0.001208,               0.001208,               0.001208
                     22,                0.77024,                0.75605,                0.93518,                0.84364,                0.79281,                0.89061,                0.74262,                0.70519,                0.74424,                0.88128,              0.0011684,              0.0011684,              0.0011684
                     23,                0.77723,                0.72309,                0.93856,                0.78305,                0.80124,                0.87747,                0.68328,                0.82301,                0.75798,                0.90525,              0.0011288,              0.0011288,              0.0011288
                     24,                0.72975,                0.70466,                 0.9322,                0.84488,                0.81756,                0.90768,                0.75867,                0.67403,                0.67315,                0.87816,              0.0010892,              0.0010892,              0.0010892
                     25,                0.74628,                0.71244,                0.93104,                0.86231,                0.78013,                0.89222,                0.75295,                0.63798,                0.69272,                0.87729,              0.0010496,              0.0010496,              0.0010496
                     26,                0.76672,                0.71711,                0.93221,                0.75939,                0.84073,                 0.8847,                0.73934,                0.67718,                0.69613,                0.87697,                0.00101,                0.00101,                0.00101
                     27,                0.74209,                0.71901,                0.92462,                0.85781,                0.82452,                0.91071,                0.76783,                 0.6531,                0.64242,                0.86842,              0.0009704,              0.0009704,              0.0009704
                     28,                0.73707,                0.69863,                0.93009,                0.82887,                0.84778,                0.90627,                0.76514,                0.62388,                0.66896,                0.86529,              0.0009308,              0.0009308,              0.0009308
                     29,                0.71853,                0.66521,                0.92183,                0.87469,                0.81167,                0.91512,                 0.7722,                0.65478,                0.63013,                0.87001,              0.0008912,              0.0008912,              0.0008912
                     30,                0.70862,                0.68115,                0.91457,                0.84112,                0.79493,                0.88707,                0.75592,                 0.6287,                0.67981,                0.86558,              0.0008516,              0.0008516,              0.0008516
                     31,                 0.6985,                0.66936,                 0.9158,                0.79659,                0.82875,                0.89378,                0.76772,                0.60642,                0.68223,                0.86177,               0.000812,               0.000812,               0.000812
                     32,                0.69578,                0.67573,                0.91718,                0.87198,                0.84355,                0.91121,                0.77012,                0.63679,                0.62237,                0.86779,              0.0007724,              0.0007724,              0.0007724
                     33,                0.68477,                0.65249,                0.91089,                0.87291,                0.81315,                0.90708,                0.78848,                0.57441,                0.63087,                0.85586,              0.0007328,              0.0007328,              0.0007328
                     34,                0.67056,                0.65556,                 0.8985,                0.86416,                0.80698,                0.91022,                0.78387,                0.58976,                0.65053,                0.85581,              0.0006932,              0.0006932,              0.0006932
                     35,                  0.657,                0.63404,                0.90184,                0.84098,                0.83932,                0.90659,                0.78517,                0.58456,                0.64155,                0.84978,              0.0006536,              0.0006536,              0.0006536
                     36,                0.66322,                0.62269,                0.90412,                0.81816,                0.83932,                0.90787,                0.77735,                0.58001,                0.63254,                0.85319,               0.000614,               0.000614,               0.000614
                     37,                0.65155,                0.61381,                0.89808,                0.87331,                0.83067,                 0.9219,                0.80274,                0.56332,                0.58385,                0.84322,              0.0005744,              0.0005744,              0.0005744
                     38,                0.65563,                0.62459,                0.89912,                0.85773,                0.80761,                0.91336,                 0.7938,                0.56442,                0.61021,                0.84625,              0.0005348,              0.0005348,              0.0005348
                     39,                0.64292,                0.60555,                0.89721,                0.83923,                0.86047,                0.92098,                0.79506,                0.59706,                0.57774,                0.84777,              0.0004952,              0.0004952,              0.0004952
                     40,                 0.6388,                0.60608,                0.89712,                0.87514,                0.80019,                0.91632,                0.80112,                0.54977,                  0.607,                0.84241,              0.0004556,              0.0004556,              0.0004556
                     41,                 0.5722,                0.55974,                0.85795,                 0.8318,                0.85732,                0.92228,                0.80937,                0.52397,                0.57227,                0.84328,               0.000416,               0.000416,               0.000416
                     42,                0.53609,                0.53541,                0.84719,                0.88362,                0.81395,                0.92954,                0.82839,                0.50701,                0.56799,                0.84191,              0.0003764,              0.0003764,              0.0003764
                     43,                0.53121,                0.52534,                0.85444,                0.84239,                0.86258,                0.92697,                0.82733,                0.50366,                0.56234,                0.84021,              0.0003368,              0.0003368,              0.0003368
                     44,                0.50666,                0.50216,                0.84394,                0.88095,                0.82919,                0.92988,                0.83175,                0.49124,                0.54708,                0.84343,              0.0002972,              0.0002972,              0.0002972
                     45,                0.50415,                0.49114,                0.84736,                0.88999,                0.83721,                0.92486,                 0.8309,                0.49116,                 0.5569,                0.83839,              0.0002576,              0.0002576,              0.0002576
                     46,                0.50043,                0.49407,                 0.8447,                0.89009,                0.83891,                0.93241,                0.84124,                 0.4674,                0.52541,                 0.8338,               0.000218,               0.000218,               0.000218
                     47,                0.49015,                 0.4799,                0.84134,                 0.8769,                0.85841,                0.93473,                0.84741,                0.45828,                0.52244,                 0.8325,              0.0001784,              0.0001784,              0.0001784
                     48,                0.48076,                0.46889,                0.83261,                0.86776,                0.84625,                0.93492,                0.84338,                0.46896,                0.51373,                0.83197,              0.0001388,              0.0001388,              0.0001388
                     49,                 0.4837,                 0.4597,                0.83833,                0.83459,                0.89006,                0.93554,                0.85299,                0.44789,                0.50756,                0.82868,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.46173,                0.45624,                0.83252,                0.85594,                0.87931,                 0.9361,                0.85494,                0.44175,                0.49379,                0.82807,               5.96e-05,               5.96e-05,               5.96e-05
