                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     27,                0.74609,                0.72624,                0.93325,                0.83744,                0.81685,                0.89875,                0.75743,                0.63484,                0.68894,                0.86403,              0.0009704,              0.0009704,              0.0009704
                     28,                0.75004,                0.73298,                0.92991,                 0.8487,                0.83015,                0.91416,                0.75905,                0.66117,                0.66033,                0.86798,              0.0009308,              0.0009308,              0.0009308
                     29,                0.72169,                0.68738,                0.92472,                0.83707,                0.82241,                 0.8992,                0.77063,                0.60134,                 0.6557,                0.86308,              0.0008912,              0.0008912,              0.0008912
                     30,                 0.7233,                0.70005,                0.92494,                0.83196,                0.82693,                 0.9026,                0.75361,                0.66645,                 0.6644,                0.87653,              0.0008516,              0.0008516,              0.0008516
                     31,                0.72331,                0.70268,                0.92379,                0.87548,                0.78785,                0.90653,                0.78293,                0.59064,                0.64436,                0.85785,               0.000812,               0.000812,               0.000812
                     32,                0.71755,                0.69223,                0.92182,                  0.858,                0.83033,                0.91499,                0.76604,                 0.6467,                0.67427,                0.86871,              0.0007724,              0.0007724,              0.0007724
                     33,                 0.7112,                0.68316,                0.91777,                0.86119,                0.82633,                 0.9086,                0.78004,                0.61656,                0.62613,                0.86254,              0.0007328,              0.0007328,              0.0007328
                     34,                0.70462,                0.68982,                 0.9138,                0.84876,                0.82241,                 0.9039,                0.76015,                0.64069,                0.64797,                0.86169,              0.0006932,              0.0006932,              0.0006932
                     35,                0.71388,                0.69105,                0.92278,                0.84884,                0.82452,                0.89739,                0.75162,                0.67021,                0.68167,                0.86842,              0.0006536,              0.0006536,              0.0006536
                     36,                0.69027,                0.66023,                0.91401,                 0.8751,                0.82951,                0.92599,                0.80399,                0.57174,                0.59296,                0.84997,               0.000614,               0.000614,               0.000614
                     37,                0.67137,                0.64636,                0.90292,                0.84206,                0.86796,                0.92428,                0.78984,                0.62333,                0.61295,                0.85273,              0.0005744,              0.0005744,              0.0005744
                     38,                0.66001,                   0.64,                0.90112,                0.87244,                0.79527,                0.91038,                0.77631,                 0.6154,                0.63145,                0.85273,              0.0005348,              0.0005348,              0.0005348
                     39,                0.65865,                0.63608,                0.90891,                0.83852,                0.85628,                0.92219,                0.78984,                0.60736,                0.58547,                0.85321,              0.0004952,              0.0004952,              0.0004952
                     40,                0.64706,                0.61554,                0.90311,                0.86745,                 0.8351,                0.91816,                 0.8109,                0.53077,                 0.5846,                0.84312,              0.0004556,              0.0004556,              0.0004556
                     41,                0.59104,                0.58174,                0.86552,                0.86876,                 0.8537,                0.92769,                0.81938,                0.52493,                0.56464,                0.84173,               0.000416,               0.000416,               0.000416
                     42,                0.56211,                0.57194,                0.86568,                0.83428,                0.84778,                0.92814,                0.82878,                0.51491,                 0.6014,                0.84183,              0.0003764,              0.0003764,              0.0003764
                     43,                0.54075,                0.55372,                0.85138,                0.83345,                0.84637,                0.92218,                0.82391,                0.51033,                 0.5811,                0.84333,              0.0003368,              0.0003368,              0.0003368
                     44,                0.54138,                0.54247,                0.85256,                 0.8776,                0.84884,                0.93206,                0.83682,                0.48998,                0.55087,                0.83787,              0.0002972,              0.0002972,              0.0002972
                     45,                0.53068,                0.53446,                0.84936,                0.82342,                0.87104,                0.93094,                0.83179,                0.49316,                0.56156,                0.83831,              0.0002576,              0.0002576,              0.0002576
                     46,                0.52698,                0.52525,                0.85387,                0.87812,                0.83778,                0.93411,                0.83454,                0.49506,                 0.5506,                0.83781,               0.000218,               0.000218,               0.000218
                     47,                0.52316,                0.52866,                0.85468,                0.89652,                0.84989,                0.93913,                0.84632,                0.48306,                0.52852,                 0.8363,              0.0001784,              0.0001784,              0.0001784
                     48,                0.50211,                0.51614,                0.84839,                0.88866,                0.85412,                0.93777,                0.84818,                0.46924,                0.52413,                0.83488,              0.0001388,              0.0001388,              0.0001388
                     49,                0.50147,                0.49958,                0.84159,                0.88482,                0.86079,                0.93745,                0.85261,                 0.4589,                0.51889,                0.83284,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.49021,                0.48838,                0.84385,                0.88992,                0.86892,                0.93716,                0.85232,                0.46175,                0.51644,                  0.832,               5.96e-05,               5.96e-05,               5.96e-05
